ref_date_raw,start_year,geo,sex,age_group,indicator,value,uom,metric_type,quality_flag,ref_date,dguid,characteristic,uom_id,scalar_factor,scalar_id,vector,coordinate,symbol,terminated,decimals
2019/2020,2019,Prince Edward Island,Females,"Total, 18 years and over","Perceived mental health, very good or excellent",58.8,percent,percent,,2019/2020,2021A000211,Percent,239,units,0,v1806964695,8.1.3.3.4,,,1
2021/2022,2021,Prince Edward Island,Females,"Total, 18 years and over","Perceived mental health, very good or excellent",55.5,percent,percent,,2021/2022,2021A000211,Percent,239,units,0,v1806964695,8.1.3.3.4,,,1
2023/2024,2023,Prince Edward Island,Females,"Total, 18 years and over","Perceived mental health, very good or excellent",46.0,percent,percent,,2023/2024,2021A000211,Percent,239,units,0,v1806964695,8.1.3.3.4,,,1
2019/2020,2019,Prince Edward Island,Females,"Total, 18 years and over","Perceived mental health, fair or poor",11.4,percent,percent,,2019/2020,2021A000211,Percent,239,units,0,v1806964702,8.1.3.4.4,,,1
2021/2022,2021,Prince Edward Island,Females,"Total, 18 years and over","Perceived mental health, fair or poor",17.3,percent,percent,,2021/2022,2021A000211,Percent,239,units,0,v1806964702,8.1.3.4.4,,,1
2023/2024,2023,Prince Edward Island,Females,"Total, 18 years and over","Perceived mental health, fair or poor",17.4,percent,percent,,2023/2024,2021A000211,Percent,239,units,0,v1806964702,8.1.3.4.4,,,1
2019/2020,2019,Prince Edward Island,Females,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",21.0,percent,percent,,2019/2020,2021A000211,Percent,239,units,0,v1806964709,8.1.3.5.4,,,1
2021/2022,2021,Prince Edward Island,Females,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",21.1,percent,percent,,2021/2022,2021A000211,Percent,239,units,0,v1806964709,8.1.3.5.4,,,1
2023/2024,2023,Prince Edward Island,Females,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",22.1,percent,percent,,2023/2024,2021A000211,Percent,239,units,0,v1806964709,8.1.3.5.4,,,1
2019/2020,2019,Prince Edward Island,Females,"Total, 18 years and over",Mood disorder,17.3,percent,percent,,2019/2020,2021A000211,Percent,239,units,0,v1806964751,8.1.3.11.4,,,1
2021/2022,2021,Prince Edward Island,Females,"Total, 18 years and over",Mood disorder,13.8,percent,percent,,2021/2022,2021A000211,Percent,239,units,0,v1806964751,8.1.3.11.4,,,1
2023/2024,2023,Prince Edward Island,Females,"Total, 18 years and over",Mood disorder,16.6,percent,percent,,2023/2024,2021A000211,Percent,239,units,0,v1806964751,8.1.3.11.4,,,1
