ref_date_raw,start_year,geo,sex,age_group,indicator,value,ci_low,ci_high,uom,metric_type,quality_flag
2016,2016,British Columbia,Both sexes,50 to 64 years,"Main source of stress in day-to-day life, health",7.6,6.0,9.6,percent,percent,
2016,2016,British Columbia,Both sexes,50 to 64 years,"Main source of stress in day-to-day life, none",10.8,8.5,13.5,percent,percent,
2016,2016,British Columbia,Both sexes,50 to 64 years,"Main source of stress in day-to-day life, other",3.9,2.9,5.4,percent,percent,E
2016,2016,British Columbia,Both sexes,50 to 64 years,"Main source of stress in day-to-day life, time pressures/ not enough time",6.9,5.2,9.2,percent,percent,
2016,2016,British Columbia,Both sexes,50 to 64 years,"Main source of stress in day-to-day life, work",28.5,25.3,32.0,percent,percent,
2016,2016,British Columbia,Both sexes,65 years and over,"Ability to handle the day-to-day demands in life, good or excellent",90.7,88.7,92.4,percent,percent,
2016,2016,British Columbia,Both sexes,65 years and over,"Ability to handle unexpected and difficult problems, good or excellent",84.8,82.4,86.9,percent,percent,
2016,2016,British Columbia,Both sexes,65 years and over,"Main source of stress in day-to-day life, family",29.4,26.6,32.3,percent,percent,
2016,2016,British Columbia,Both sexes,65 years and over,"Main source of stress in day-to-day life, financial concerns",13.8,11.7,16.3,percent,percent,
2016,2016,British Columbia,Both sexes,65 years and over,"Main source of stress in day-to-day life, health",17.5,15.1,20.1,percent,percent,
2016,2016,British Columbia,Both sexes,65 years and over,"Main source of stress in day-to-day life, none",23.1,20.6,25.7,percent,percent,
2016,2016,British Columbia,Both sexes,65 years and over,"Main source of stress in day-to-day life, other",6.2,4.8,8.1,percent,percent,
2016,2016,British Columbia,Both sexes,65 years and over,"Main source of stress in day-to-day life, time pressures/ not enough time",5.2,4.1,6.6,percent,percent,
2016,2016,British Columbia,Both sexes,65 years and over,"Main source of stress in day-to-day life, work",4.7,3.7,6.1,percent,percent,
2016,2016,British Columbia,Both sexes,"Total, 12 years and over","Ability to handle the day-to-day demands in life, good or excellent",88.7,87.5,89.8,percent,percent,
2016,2016,British Columbia,Both sexes,"Total, 12 years and over","Ability to handle unexpected and difficult problems, good or excellent",80.4,79.0,81.8,percent,percent,
2016,2016,British Columbia,Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, family",18.7,17.5,20.0,percent,percent,
2016,2016,British Columbia,Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, financial concerns",20.2,18.9,21.6,percent,percent,
2016,2016,British Columbia,Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, health",7.2,6.4,8.1,percent,percent,
2016,2016,British Columbia,Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, none",9.5,8.6,10.5,percent,percent,
2016,2016,British Columbia,Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, other",3.5,3.0,4.1,percent,percent,
2016,2016,British Columbia,Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, school work (12 to 34 years old)",22.7,20.2,25.5,percent,percent,
2016,2016,British Columbia,Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, time pressures/ not enough time",11.1,9.9,12.5,percent,percent,
2016,2016,British Columbia,Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, work",21.9,20.5,23.5,percent,percent,
2016,2016,British Columbia,Females,12 to 17 years,"Ability to handle the day-to-day demands in life, good or excellent",88.5,81.6,93.0,percent,percent,
