ref_date_raw,start_year,geo,sex,indicator,value,ci_low,ci_high,uom,metric_type,quality_flag
2021-07,2021,Ontario,"Total, all persons",Excellent or very good perceived health,52.3,50.1,54.4,percent,percent,
2021-07,2021,Ontario,"Total, all persons",Fair or poor perceived health,15.6,14.1,17.3,percent,percent,
2021-07,2021,Ontario,"Total, all persons",Good perceived health,32.1,30.1,34.2,percent,percent,
2021-07,2021,Ontario,Women,Excellent or very good perceived health,51.2,48.2,54.1,percent,percent,
2021-07,2021,Ontario,Women,Fair or poor perceived health,16.3,14.4,18.5,percent,percent,
2021-07,2021,Ontario,Women,Good perceived health,32.5,29.7,35.4,percent,percent,
2021-07,2021,Prairies Region,Men,Excellent or very good perceived health,60.0,55.9,63.9,percent,percent,
2021-07,2021,Prairies Region,Men,Fair or poor perceived health,12.4,9.7,15.7,percent,percent,
2021-07,2021,Prairies Region,Men,Good perceived health,27.6,24.1,31.4,percent,percent,
2021-07,2021,Prairies Region,"Total, all persons",Excellent or very good perceived health,56.6,53.6,59.5,percent,percent,
2021-07,2021,Prairies Region,"Total, all persons",Fair or poor perceived health,11.8,10.1,13.8,percent,percent,
2021-07,2021,Prairies Region,"Total, all persons",Good perceived health,31.6,28.8,34.6,percent,percent,
2021-07,2021,Prairies Region,Women,Excellent or very good perceived health,53.2,48.8,57.4,percent,percent,
2021-07,2021,Prairies Region,Women,Fair or poor perceived health,11.2,9.3,13.6,percent,percent,
2021-07,2021,Prairies Region,Women,Good perceived health,35.6,31.4,40.0,percent,percent,
2021-07,2021,Prince Edward Island,Men,Excellent or very good perceived health,59.2,51.3,66.6,percent,percent,
2021-07,2021,Prince Edward Island,Men,Fair or poor perceived health,12.1,8.2,17.5,percent,percent,
2021-07,2021,Prince Edward Island,Men,Good perceived health,28.7,22.1,36.4,percent,percent,
2021-07,2021,Prince Edward Island,"Total, all persons",Excellent or very good perceived health,57.7,52.3,62.9,percent,percent,
2021-07,2021,Prince Edward Island,"Total, all persons",Fair or poor perceived health,12.7,9.8,16.2,percent,percent,
2021-07,2021,Prince Edward Island,"Total, all persons",Good perceived health,29.7,24.9,35.0,percent,percent,
2021-07,2021,Prince Edward Island,Women,Excellent or very good perceived health,56.2,49.1,63.1,percent,percent,
2021-07,2021,Prince Edward Island,Women,Fair or poor perceived health,13.2,9.3,18.3,percent,percent,
2021-07,2021,Prince Edward Island,Women,Good perceived health,30.6,24.4,37.6,percent,percent,
2021-07,2021,Quebec,Men,Excellent or very good perceived health,63.2,59.7,66.6,percent,percent,
2021-07,2021,Quebec,Men,Fair or poor perceived health,8.8,7.1,11.0,percent,percent,
2021-07,2021,Quebec,Men,Good perceived health,27.9,24.7,31.4,percent,percent,
2021-07,2021,Quebec,"Total, all persons",Excellent or very good perceived health,61.0,58.6,63.4,percent,percent,
2021-07,2021,Quebec,"Total, all persons",Fair or poor perceived health,9.6,8.3,11.1,percent,percent,
2021-07,2021,Quebec,"Total, all persons",Good perceived health,29.4,27.1,31.8,percent,percent,
2021-07,2021,Quebec,Women,Excellent or very good perceived health,58.9,55.5,62.2,percent,percent,
2021-07,2021,Quebec,Women,Fair or poor perceived health,10.3,8.4,12.5,percent,percent,
2021-07,2021,Quebec,Women,Good perceived health,30.8,27.6,34.2,percent,percent,
2021-07,2021,Saskatchewan,Men,Excellent or very good perceived health,57.3,49.5,64.8,percent,percent,
2021-07,2021,Saskatchewan,Men,Fair or poor perceived health,9.6,6.1,14.9,percent,percent,
2021-07,2021,Saskatchewan,Men,Good perceived health,33.0,26.1,40.8,percent,percent,
2021-07,2021,Saskatchewan,"Total, all persons",Excellent or very good perceived health,54.9,49.3,60.4,percent,percent,
2021-07,2021,Saskatchewan,"Total, all persons",Fair or poor perceived health,12.9,10.0,16.5,percent,percent,
2021-07,2021,Saskatchewan,"Total, all persons",Good perceived health,32.2,27.2,37.6,percent,percent,
2021-07,2021,Saskatchewan,Women,Excellent or very good perceived health,52.5,44.9,60.0,percent,percent,
2021-07,2021,Saskatchewan,Women,Fair or poor perceived health,16.2,11.9,21.7,percent,percent,
2021-07,2021,Saskatchewan,Women,Good perceived health,31.3,24.4,39.1,percent,percent,
2021-10,2021,Alberta,Men,Excellent or very good perceived health,54.9,49.2,60.5,percent,percent,
2021-10,2021,Alberta,Men,Fair or poor perceived health,12.9,9.8,16.9,percent,percent,
2021-10,2021,Alberta,Men,Good perceived health,32.2,27.0,37.8,percent,percent,
2021-10,2021,Alberta,"Total, all persons",Excellent or very good perceived health,51.8,48.0,55.6,percent,percent,
2021-10,2021,Alberta,"Total, all persons",Fair or poor perceived health,14.3,11.9,17.1,percent,percent,
2021-10,2021,Alberta,"Total, all persons",Good perceived health,33.9,30.2,37.8,percent,percent,
2021-10,2021,Alberta,Women,Excellent or very good perceived health,48.7,43.6,53.9,percent,percent,
2021-10,2021,Alberta,Women,Fair or poor perceived health,15.7,12.3,19.9,percent,percent,
2021-10,2021,Alberta,Women,Good perceived health,35.5,30.6,40.8,percent,percent,
2021-10,2021,Atlantic Region,Men,Excellent or very good perceived health,44.1,40.2,48.0,percent,percent,
2021-10,2021,Atlantic Region,Men,Fair or poor perceived health,19.9,16.9,23.3,percent,percent,
2021-10,2021,Atlantic Region,Men,Good perceived health,36.0,32.1,40.1,percent,percent,
2021-10,2021,Atlantic Region,"Total, all persons",Excellent or very good perceived health,47.5,44.9,50.2,percent,percent,
2021-10,2021,Atlantic Region,"Total, all persons",Fair or poor perceived health,18.2,16.2,20.4,percent,percent,
2021-10,2021,Atlantic Region,"Total, all persons",Good perceived health,34.3,31.7,36.9,percent,percent,
2021-10,2021,Atlantic Region,Women,Excellent or very good perceived health,50.8,47.2,54.5,percent,percent,
2021-10,2021,Atlantic Region,Women,Fair or poor perceived health,16.6,14.0,19.5,percent,percent,
2021-10,2021,Atlantic Region,Women,Good perceived health,32.6,29.2,36.2,percent,percent,
2021-10,2021,British Columbia,Men,Excellent or very good perceived health,50.4,45.2,55.5,percent,percent,
2021-10,2021,British Columbia,Men,Fair or poor perceived health,16.9,13.3,21.1,percent,percent,
2021-10,2021,British Columbia,Men,Good perceived health,32.8,27.9,38.1,percent,percent,
2021-10,2021,British Columbia,"Total, all persons",Excellent or very good perceived health,50.5,46.9,54.0,percent,percent,
2021-10,2021,British Columbia,"Total, all persons",Fair or poor perceived health,17.1,14.6,19.9,percent,percent,
2021-10,2021,British Columbia,"Total, all persons",Good perceived health,32.4,29.1,35.9,percent,percent,
2021-10,2021,British Columbia,Women,Excellent or very good perceived health,50.6,45.7,55.5,percent,percent,
2021-10,2021,British Columbia,Women,Fair or poor perceived health,17.4,14.0,21.4,percent,percent,
2021-10,2021,British Columbia,Women,Good perceived health,32.0,27.6,36.8,percent,percent,
2021-10,2021,Canada (excluding territories),Men,Excellent or very good perceived health,52.7,50.8,54.6,percent,percent,
2021-10,2021,Canada (excluding territories),Men,Fair or poor perceived health,14.6,13.3,16.0,percent,percent,
2021-10,2021,Canada (excluding territories),Men,Good perceived health,32.7,31.0,34.5,percent,percent,
2021-10,2021,Canada (excluding territories),"Total, all persons",Excellent or very good perceived health,52.1,50.8,53.3,percent,percent,
2021-10,2021,Canada (excluding territories),"Total, all persons",Fair or poor perceived health,15.1,14.2,16.0,percent,percent,
2021-10,2021,Canada (excluding territories),"Total, all persons",Good perceived health,32.8,31.7,34.0,percent,percent,
2021-10,2021,Canada (excluding territories),Women,Excellent or very good perceived health,51.4,49.7,53.1,percent,percent,
2021-10,2021,Canada (excluding territories),Women,Fair or poor perceived health,15.6,14.3,16.9,percent,percent,
2021-10,2021,Canada (excluding territories),Women,Good perceived health,33.0,31.4,34.5,percent,percent,
2021-10,2021,Manitoba,Men,Excellent or very good perceived health,50.0,42.1,57.9,percent,percent,
2021-10,2021,Manitoba,Men,Fair or poor perceived health,13.6,9.2,19.7,percent,percent,
2021-10,2021,Manitoba,Men,Good perceived health,36.4,29.2,44.4,percent,percent,
2021-10,2021,Manitoba,"Total, all persons",Excellent or very good perceived health,49.9,44.4,55.3,percent,percent,
2021-10,2021,Manitoba,"Total, all persons",Fair or poor perceived health,12.7,9.8,16.3,percent,percent,
2021-10,2021,Manitoba,"Total, all persons",Good perceived health,37.5,32.3,42.9,percent,percent,
2021-10,2021,Manitoba,Women,Excellent or very good perceived health,49.7,42.4,57.0,percent,percent,
2021-10,2021,Manitoba,Women,Fair or poor perceived health,11.8,8.5,16.1,percent,percent,
2021-10,2021,Manitoba,Women,Good perceived health,38.5,31.6,46.0,percent,percent,
